duration,daily_price,cleaning_fee,service_fee,bath,bed,cleanliness,accuracy,check-in,communication,location,value,overall_rating,num_review,num_years,daily_original_price,Bundle,Weekend,Holiday,room_id,start_date,status,state,scrape_date,Total State Tax,check-in date,check-out date,daily_discount_rate,booked,week,weekly_occupancy_rate,weekly_revenue
7.0,38.4285714285714,164.0,289.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.33333333333333,38.4285714285714,1.0,1.0,1.0,6569449,2024-10-08,available,District of Columbia,2024-06-26,14.95%,2024-10-08,2024-10-15,1.0,1,41,1.0,268.99999999999983
7.0,36.5714285714286,164.0,276.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.477777777777778,36.5714285714286,1.0,1.0,1.0,6569449,2024-10-08,available,District of Columbia,2024-06-27,14.95%,2024-10-08,2024-10-15,1.0,1,41,1.0,256.00000000000017
7.0,37.0,164.0,279.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.5,37.0,1.0,1.0,1.0,6569449,2024-10-08,available,District of Columbia,2024-06-28,14.95%,2024-10-08,2024-10-15,1.0,1,41,1.0,259.0
7.0,39.1428571428571,164.0,294.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.33333333333333,39.1428571428571,1.0,1.0,1.0,6569449,2024-10-09,available,District of Columbia,2024-06-26,14.95%,2024-10-09,2024-10-16,1.0,1,41,1.0,273.9999999999997
7.0,36.5714285714286,164.0,276.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.477777777777778,36.5714285714286,1.0,1.0,1.0,6569449,2024-10-09,available,District of Columbia,2024-06-27,14.95%,2024-10-09,2024-10-16,1.0,1,41,1.0,256.00000000000017
7.0,37.0,164.0,279.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.5,37.0,1.0,1.0,1.0,6569449,2024-10-09,available,District of Columbia,2024-06-28,14.95%,2024-10-09,2024-10-16,1.0,1,41,1.0,259.0
7.0,38.2857142857143,164.0,288.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.33333333333333,38.2857142857143,1.0,1.0,1.0,6569449,2024-10-10,available,District of Columbia,2024-06-26,14.95%,2024-10-10,2024-10-17,1.0,1,41,1.0,268.0000000000001
7.0,36.4285714285714,164.0,275.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.477777777777778,36.4285714285714,1.0,1.0,1.0,6569449,2024-10-10,available,District of Columbia,2024-06-27,14.95%,2024-10-10,2024-10-17,1.0,1,41,1.0,254.99999999999983
7.0,36.0,164.0,272.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.5,36.0,1.0,1.0,1.0,6569449,2024-10-10,available,District of Columbia,2024-06-28,14.95%,2024-10-10,2024-10-17,1.0,1,41,1.0,252.0
7.0,36.0,164.0,273.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.33333333333333,36.0,1.0,1.0,1.0,6569449,2024-10-11,available,District of Columbia,2024-06-26,14.95%,2024-10-11,2024-10-18,1.0,1,41,1.0,252.0
7.0,34.0,164.0,258.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.5,34.0,1.0,1.0,1.0,6569449,2024-10-11,available,District of Columbia,2024-06-28,14.95%,2024-10-11,2024-10-18,1.0,1,41,1.0,238.0
7.0,33.5714285714286,164.0,255.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.33333333333333,33.5714285714286,1.0,1.0,1.0,6569449,2024-10-12,available,District of Columbia,2024-06-26,14.95%,2024-10-12,2024-10-19,1.0,1,41,1.0,235.00000000000017
7.0,31.8571428571429,164.0,244.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.477777777777778,31.8571428571429,1.0,1.0,1.0,6569449,2024-10-12,available,District of Columbia,2024-06-27,14.95%,2024-10-12,2024-10-19,1.0,1,41,1.0,223.0000000000003
7.0,30.1428571428571,164.0,231.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.477777777777778,30.1428571428571,1.0,1.0,1.0,6569449,2024-10-13,available,District of Columbia,2024-06-27,14.95%,2024-10-13,2024-10-20,1.0,1,41,1.0,210.9999999999997
7.0,30.0,164.0,231.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.5,30.0,1.0,1.0,1.0,6569449,2024-10-13,available,District of Columbia,2024-06-28,14.95%,2024-10-13,2024-10-20,1.0,1,41,1.0,210.0
7.0,29.4285714285714,164.0,227.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.33333333333333,29.4285714285714,1.0,1.0,1.0,6569449,2024-10-14,available,District of Columbia,2024-06-26,14.95%,2024-10-14,2024-10-21,1.0,1,42,1.0,205.9999999999998
7.0,28.1428571428571,164.0,218.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.477777777777778,28.1428571428571,1.0,1.0,1.0,6569449,2024-10-14,available,District of Columbia,2024-06-27,14.95%,2024-10-14,2024-10-21,1.0,1,42,1.0,196.9999999999997
7.0,28.5714285714286,164.0,221.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.33333333333333,28.5714285714286,1.0,1.0,1.0,6569449,2024-10-15,available,District of Columbia,2024-06-26,14.95%,2024-10-15,2024-10-22,1.0,1,42,1.0,200.0000000000002
7.0,27.7142857142857,164.0,215.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.477777777777778,27.7142857142857,1.0,1.0,1.0,6569449,2024-10-15,available,District of Columbia,2024-06-27,14.95%,2024-10-15,2024-10-22,1.0,1,42,1.0,193.99999999999991
7.0,27.714285714285705,164.0,215.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.5,27.714285714285705,1.0,1.0,1.0,6569449,2024-10-15,available,District of Columbia,2024-06-28,14.95%,2024-10-15,2024-10-22,1.0,1,42,1.0,193.99999999999994
7.0,27.5714285714286,164.0,214.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.477777777777778,27.5714285714286,1.0,1.0,1.0,6569449,2024-10-16,available,District of Columbia,2024-06-27,14.95%,2024-10-16,2024-10-23,1.0,1,42,1.0,193.0000000000002
7.0,27.5714285714286,164.0,214.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.5,27.5714285714286,1.0,1.0,1.0,6569449,2024-10-16,available,District of Columbia,2024-06-28,14.95%,2024-10-16,2024-10-23,1.0,1,42,1.0,193.0000000000002
7.0,27.4285714285714,164.0,212.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.477777777777778,27.4285714285714,1.0,1.0,1.0,6569449,2024-10-17,available,District of Columbia,2024-06-27,14.95%,2024-10-17,2024-10-24,1.0,1,42,1.0,191.9999999999998
7.0,27.4285714285714,164.0,212.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.5,27.4285714285714,1.0,1.0,1.0,6569449,2024-10-17,available,District of Columbia,2024-06-28,14.95%,2024-10-17,2024-10-24,1.0,1,42,1.0,191.9999999999998
